"State/UTs_Code","District_Code","CD Block_Code","Town/Village_Code","Ward_Code","EB_Code","State/UTs_Name","District_Name","Level","Name","Total/Rural/Urban","No of Households","Total Population Person","Total Population Male","Total Population Female","Population in the age group 0-6 Person","Population in the age group 0-6 Male","Population in the age group 0-6 Female","Scheduled Castes population Person","Scheduled Castes population Male","Scheduled Castes population Female","Scheduled Tribes population Person","Scheduled Tribes population Male","Scheduled Tribes population Female","Literates Population Person","Literates Population Male","Literates Population Female","Illiterate Persons","Illiterate Male","Illiterate Female","Total Worker Population Person","Total Worker Population Male","Total Worker Population Female","Main Working Population Person","Main Working Population Male","Main Working Population Female","Main Cultivator Population Person","Main Cultivator Population Male","Main Cultivator Population Female","Main Agricultural Labourers Population Person","Main Agricultural Labourers Population Male","Main Agricultural Labourers Population Female","Main Household Industries Population Person","Main Household Industries Population Male","Main Household Industries Population Female","Main Other Workers Population Person","Main Other Workers Population Male","Main Other Workers Population Female","Marginal Worker Population Person","Marginal Worker Population Male","Marginal Worker Population Female","Marginal Cultivator Population Person","Marginal Cultivator Population Male","Marginal Cultivator Population Female","Marginal Agriculture Labourers Population Person","Marginal Agriculture Labourers Population Male","Marginal Agriculture Labourers Population Female","Marginal Household Industries Population Person","Marginal Household Industries Population Male","Marginal Household Industries Population Female","Marginal Other Workers Population Person","Marginal Other Workers Population Male","Marginal Other Workers Population Female","Marginal Worker Population 3_6 Person","Marginal Worker Population 3_6 Male","Marginal Worker Population 3_6 Female","Marginal Cultivator Population 3_6 Person","Marginal Cultivator Population 3_6 Male","Marginal Cultivator Population 3_6 Female","Marginal Agriculture Labourers Population 3_6 Person","Marginal Agriculture Labourers Population 3_6 Male","Marginal Agriculture Labourers Population 3_6 Female","Marginal Household Industries Population 3_6 Person","Marginal Household Industries Population 3_6 Male","Marginal Household Industries Population 3-6 Female","Marginal Other Workers Population Person 3_6 Person","Marginal Other Workers Population Person 3_6 Male","Marginal Other Workers Population Person 3_6 Female","Marginal Worker Population 0_3 Person","Marginal Worker Population 0_3 Male","Marginal Worker Population 0_3_Female","Marginal Cultivator Population 0_3 Person","Marginal Cultivator Population 0_3 Male","Marginal Cultivator Population 0_3_Female","Marginal Agriculture Labourers Population 0_3 Person","Marginal Agriculture Labourers Population 0_3 Male","Marginal Agriculture Labourers Population 0_3 Female","Marginal Household Industries Population 0_3 Person","Marginal Household Industries Population 0_3 Male","Marginal Household Industries Population 0_3 Female","Marginal Other Workers Population 0_3 Person","Marginal Other Workers Population 0_3 Male","Marginal Other Workers Population 0_3 Female","Non Working Population Person","Non Working Population Male","Non Working Population Female"
"32","588","0001","000000","0000","000000","KERALA","Kasaragod","CD BLOCK","Manjeshwar","Total","61804","327862","161130","166732","39694","20238","19456","21889","10900","10989","2798","1390","1408","255527","131920","123607","72335","29210","43125","122908","83495","39413","97659","70050","27609","4902","4150","752","5559","4814","745","10401","1577","8824","76797","59509","17288","25249","13445","11804","681","427","254","1890","1398","492","4137","474","3663","18541","11146","7395","19194","10614","8580","547","355","192","1493","1139","354","3022","302","2720","14132","8818","5314","6055","2831","3224","134","72","62","397","259","138","1115","172","943","4409","2328","2081","204954","77635","127319"
"32","588","0001","000000","0000","000000","KERALA","Kasaragod","CD BLOCK","Manjeshwar","Rural","44665","237875","117496","120379","28011","14204","13807","18108","9044","9064","2110","1054","1056","184650","96240","88410","53225","21256","31969","93595","62479","31116","73111","51831","21280","4561","3868","693","5017","4354","663","8397","1021","7376","55136","42588","12548","20484","10648","9836","605","389","216","1700","1272","428","3701","426","3275","14478","8561","5917","15290","8244","7046","482","322","160","1337","1034","303","2699","264","2435","10772","6624","4148","5194","2404","2790","123","67","56","363","238","125","1002","162","840","3706","1937","1769","144280","55017","89263"
"32","588","0001","000000","0000","000000","KERALA","Kasaragod","CD BLOCK","Manjeshwar","Urban","17139","89987","43634","46353","11683","6034","5649","3781","1856","1925","688","336","352","70877","35680","35197","19110","7954","11156","29313","21016","8297","24548","18219","6329","341","282","59","542","460","82","2004","556","1448","21661","16921","4740","4765","2797","1968","76","38","38","190","126","64","436","48","388","4063","2585","1478","3904","2370","1534","65","33","32","156","105","51","323","38","285","3360","2194","1166","861","427","434","11","5","6","34","21","13","113","10","103","703","391","312","60674","22618","38056"
"32","588","0001","627057","0000","000000","KERALA","Kasaragod","VILLAGE","Pavoor","Rural","853","4798","2393","2405","655","327","328","117","57","60","14","6","8","3513","1892","1621","1285","501","784","2363","1362","1001","1946","1147","799","188","142","46","135","115","20","535","82","453","1088","808","280","417","215","202","13","7","6","37","23","14","109","45","64","258","140","118","336","174","162","9","5","4","27","18","9","97","42","55","203","109","94","81","41","40","4","2","2","10","5","5","12","3","9","55","31","24","2435","1031","1404"
"32","588","0001","627058","0000","000000","KERALA","Kasaragod","VILLAGE","Vorkady","Rural","1737","8787","4350","4437","999","532","467","299","149","150","116","59","57","6806","3560","3246","1981","790","1191","4160","2475","1685","3327","2032","1295","199","174","25","155","140","15","658","41","617","2315","1677","638","833","443","390","31","24","7","77","63","14","290","27","263","435","329","106","602","335","267","25","20","5","43","39","4","191","18","173","343","258","85","231","108","123","6","4","2","34","24","10","99","9","90","92","71","21","4627","1875","2752"
"32","588","0001","627059","0000","000000","KERALA","Kasaragod","VILLAGE","Pathur","Rural","1054","6383","3118","3265","776","399","377","138","72","66","62","31","31","4839","2551","2288","1544","567","977","2531","1572","959","1840","1281","559","156","135","21","186","178","8","223","48","175","1275","920","355","691","291","400","15","8","7","65","57","8","257","32","225","354","194","160","436","230","206","14","7","7","49","45","4","92","15","77","281","163","118","255","61","194","1","1","0","16","12","4","165","17","148","73","31","42","3852","1546","2306"
"32","588","0001","627060","0000","000000","KERALA","Kasaragod","VILLAGE","Kodalamogaru","Rural","1107","5788","2906","2882","679","354","325","179","91","88","57","29","28","4284","2322","1962","1504","584","920","2720","1671","1049","2290","1464","826","107","91","16","29","23","6","239","14","225","1915","1336","579","430","207","223","12","8","4","17","13","4","7","2","5","394","184","210","323","178","145","10","6","4","4","4","0","7","2","5","302","166","136","107","29","78","2","2","0","13","9","4","0","0","0","92","18","74","3068","1235","1833"
"32","588","0001","627061","0000","000000","KERALA","Kasaragod","VILLAGE","Koliyoor","Rural","496","2743","1397","1346","314","157","157","38","23","15","10","5","5","2173","1185","988","570","212","358","1265","771","494","1136","734","402","9","5","4","2","1","1","236","44","192","889","684","205","129","37","92","4","3","1","10","3","7","77","5","72","38","26","12","110","28","82","4","3","1","10","3","7","62","0","62","34","22","12","19","9","10","0","0","0","0","0","0","15","5","10","4","4","0","1478","626","852"
"32","588","0001","627062","0000","000000","KERALA","Kasaragod","VILLAGE","Kaliyoor","Rural","448","2323","1146","1177","234","123","111","43","19","24","6","3","3","1862","969","893","461","177","284","958","650","308","503","361","142","45","41","4","48","46","2","60","3","57","350","271","79","455","289","166","11","9","2","24","17","7","71","5","66","349","258","91","350","254","96","5","4","1","20","16","4","49","3","46","276","231","45","105","35","70","6","5","1","4","1","3","22","2","20","73","27","46","1365","496","869"
"32","588","0001","627063","0000","000000","KERALA","Kasaragod","VILLAGE","Talikala","Rural","363","1847","919","928","220","128","92","16","9","7","29","14","15","1338","705","633","509","214","295","806","509","297","712","474","238","31","24","7","13","11","2","115","3","112","553","436","117","94","35","59","1","0","1","3","0","3","40","9","31","50","26","24","80","33","47","0","0","0","3","0","3","38","9","29","39","24","15","14","2","12","1","0","1","0","0","0","2","0","2","11","2","9","1041","410","631"
