State/UTs_Code,District_Code,CD Block_Code,Town/Village_Code,Ward_Code,EB_Code,State/UTs_Name,District_Name,Level,Name,Total/Rural/Urban,No of Households,Total Population Person,Total Population Male,Total Population Female,Population in the age group 0-6 Person,Population in the age group 0-6 Male,Population in the age group 0-6 Female,Scheduled Castes population Person,Scheduled Castes population Male,Scheduled Castes population Female,Scheduled Tribes population Person,Scheduled Tribes population Male,Scheduled Tribes population Female,Literates Population Person,Literates Population Male,Literates Population Female,Illiterate Persons,Illiterate Male,Illiterate Female,Total Worker Population Person,Total Worker Population Male,Total Worker Population Female,Main Working Population Person,Main Working Population Male,Main Working Population Female,Main Cultivator Population Person,Main Cultivator Population Male,Main Cultivator Population Female,Main Agricultural Labourers Population Person,Main Agricultural Labourers Population Male,Main Agricultural Labourers Population Female,Main Household Industries Population Person,Main Household Industries Population Male,Main Household Industries Population Female,Main Other Workers Population Person,Main Other Workers Population Male,Main Other Workers Population Female,Marginal Worker Population Person,Marginal Worker Population Male,Marginal Worker Population Female,Marginal Cultivator Population Person,Marginal Cultivator Population Male,Marginal Cultivator Population Female,Marginal Agriculture Labourers Population Person,Marginal Agriculture Labourers Population Male,Marginal Agriculture Labourers Population Female,Marginal Household Industries Population Person,Marginal Household Industries Population Male,Marginal Household Industries Population Female,Marginal Other Workers Population Person,Marginal Other Workers Population Male,Marginal Other Workers Population Female,Marginal Worker Population 3_6 Person,Marginal Worker Population 3_6 Male,Marginal Worker Population 3_6 Female,Marginal Cultivator Population 3_6 Person,Marginal Cultivator Population 3_6 Male,Marginal Cultivator Population 3_6 Female,Marginal Agriculture Labourers Population 3_6 Person,Marginal Agriculture Labourers Population 3_6 Male,Marginal Agriculture Labourers Population 3_6 Female,Marginal Household Industries Population 3_6 Person,Marginal Household Industries Population 3_6 Male,Marginal Household Industries Population 3-6 Female,Marginal Other Workers Population Person 3_6 Person,Marginal Other Workers Population Person 3_6 Male,Marginal Other Workers Population Person 3_6 Female,Marginal Worker Population 0_3 Person,Marginal Worker Population 0_3 Male,Marginal Worker Population 0_3_Female,Marginal Cultivator Population 0_3 Person,Marginal Cultivator Population 0_3 Male,Marginal Cultivator Population 0_3_Female,Marginal Agriculture Labourers Population 0_3 Person,Marginal Agriculture Labourers Population 0_3 Male,Marginal Agriculture Labourers Population 0_3 Female,Marginal Household Industries Population 0_3 Person,Marginal Household Industries Population 0_3 Male,Marginal Household Industries Population 0_3 Female,Marginal Other Workers Population 0_3 Person,Marginal Other Workers Population 0_3 Male,Marginal Other Workers Population 0_3 Female,Non Working Population Person,Non Working Population Male,Non Working Population Female
32,593,0043,000000,0000,000000,KERALA,Palakkad,CD BLOCK,Thrithala,Total,43133,200831,94623,106208,24118,12225,11893,35599,17489,18110,355,162,193,163495,78189,85306,37336,16434,20902,59290,46667,12623,51185,41873,9312,2714,2419,295,5566,3719,1847,912,743,169,41993,34992,7001,8105,4794,3311,480,336,144,1004,567,437,210,141,69,6411,3750,2661,6789,3963,2826,389,272,117,745,392,353,150,99,51,5505,3200,2305,1316,831,485,91,64,27,259,175,84,60,42,18,906,550,356,141541,47956,93585
32,593,0043,000000,0000,000000,KERALA,Palakkad,CD BLOCK,Thrithala,Rural,34403,160180,75508,84672,19196,9763,9433,28472,13964,14508,326,153,173,130481,62392,68089,29699,13116,16583,47390,37334,10056,41220,33760,7460,2484,2203,281,4616,3098,1518,719,589,130,33401,27870,5531,6170,3574,2596,434,297,137,844,497,347,174,117,57,4718,2663,2055,5062,2880,2182,349,237,112,609,335,274,123,81,42,3981,2227,1754,1108,694,414,85,60,25,235,162,73,51,36,15,737,436,301,112790,38174,74616
32,593,0043,000000,0000,000000,KERALA,Palakkad,CD BLOCK,Thrithala,Urban,8730,40651,19115,21536,4922,2462,2460,7127,3525,3602,29,9,20,33014,15797,17217,7637,3318,4319,11900,9333,2567,9965,8113,1852,230,216,14,950,621,329,193,154,39,8592,7122,1470,1935,1220,715,46,39,7,160,70,90,36,24,12,1693,1087,606,1727,1083,644,40,35,5,136,57,79,27,18,9,1524,973,551,208,137,71,6,4,2,24,13,11,9,6,3,169,114,55,28751,9782,18969
32,593,0043,627566,0000,000000,KERALA,Palakkad,VILLAGE,Anakkara,Rural,5214,24699,11623,13076,2961,1525,1436,5332,2616,2716,41,19,22,20298,9668,10630,4401,1955,2446,7539,5892,1647,6716,5491,1225,344,306,38,746,510,236,119,107,12,5507,4568,939,823,401,422,54,28,26,80,42,38,13,9,4,676,322,354,673,328,345,41,24,17,65,37,28,10,8,2,557,259,298,150,73,77,13,4,9,15,5,10,3,1,2,119,63,56,17160,5731,11429
32,593,0043,627586,0000,000000,KERALA,Palakkad,VILLAGE,Pattithara,Rural,6962,33157,15657,17500,4099,2073,2026,6745,3308,3437,87,51,36,27050,12948,14102,6107,2709,3398,9536,7788,1748,8603,7222,1381,532,491,41,1276,881,395,99,89,10,6696,5761,935,933,566,367,65,50,15,184,106,78,31,17,14,653,393,260,791,482,309,60,46,14,159,93,66,22,13,9,550,330,220,142,84,58,5,4,1,25,13,12,9,4,5,103,63,40,23621,7869,15752
32,593,0043,627587,0000,000000,KERALA,Palakkad,VILLAGE,Kappur,Rural,6519,31337,14579,16758,4076,2048,2028,3942,1946,1996,44,15,29,25381,11883,13498,5956,2696,3260,8190,6688,1502,6399,5407,992,521,471,50,606,466,140,110,97,13,5162,4373,789,1791,1281,510,164,128,36,272,192,80,68,57,11,1287,904,383,1382,989,393,123,92,31,161,99,62,44,38,6,1054,760,294,409,292,117,41,36,5,111,93,18,24,19,5,233,144,89,23147,7891,15256
32,593,0043,627588,0000,000000,KERALA,Palakkad,VILLAGE,Chalissery,Rural,5352,24238,11379,12859,2950,1497,1453,3907,1925,1982,58,24,34,19527,9291,10236,4711,2088,2623,7694,5710,1984,6908,5443,1465,372,331,41,785,469,316,91,75,16,5660,4568,1092,786,267,519,48,24,24,73,30,43,11,3,8,654,210,444,678,225,453,40,19,21,63,25,38,10,2,8,565,179,386,108,42,66,8,5,3,10,5,5,1,1,0,89,31,58,16544,5669,10875
32,593,0043,627589,0000,000000,KERALA,Palakkad,VILLAGE,Nagalassery,Rural,6262,27606,13168,14438,2883,1461,1422,5592,2734,2858,38,15,23,22881,11177,11704,4725,1991,2734,8473,6700,1773,7879,6351,1528,483,397,86,793,505,288,171,130,41,6432,5319,1113,594,349,245,58,31,27,81,42,39,28,16,12,427,260,167,512,299,213,44,22,22,65,36,29,24,12,12,379,229,150,82,50,32,14,9,5,16,6,10,4,4,0,48,31,17,19133,6468,12665
32,593,0043,627590,0000,000000,KERALA,Palakkad,VILLAGE,Thirumittacode-I,Rural,4094,19143,9102,10041,2227,1159,1068,2954,1435,1519,58,29,29,15344,7425,7919,3799,1677,2122,5958,4556,1402,4715,3846,869,232,207,25,410,267,143,129,91,38,3944,3281,663,1243,710,533,45,36,9,154,85,69,23,15,8,1021,574,447,1026,557,469,41,34,7,96,45,51,13,8,5,876,470,406,217,153,64,4,2,2,58,40,18,10,7,3,145,104,41,13185,4546,8639
32,593,0043,627600,0000,000000,KERALA,Palakkad,TOWN,Thrithala (CT),Urban,5879,27796,13115,14681,3392,1716,1676,5254,2607,2647,19,7,12,22740,10896,11844,5056,2219,2837,8286,6425,1861,7015,5678,1337,149,139,10,683,430,253,136,104,32,6047,5005,1042,1271,747,524,15,11,4,100,40,60,26,15,11,1130,681,449,1120,652,468,15,11,4,82,31,51,18,10,8,1005,600,405,151,95,56,0,0,0,18,9,9,8,5,3,125,81,44,19510,6690,12820
